P,R,F
9.978426893552143628e-01,3.862043336818092309e-01,5.568758352098074349e-01
8.722472190856933594e-01,4.207193662722905625e-01,5.676423527138518832e-01
9.843709667523701246e-01,4.118534052058269723e-01,5.807326426684861209e-01
7.879735827445983887e-01,2.814798303089051656e-01,4.147888400777925977e-01
7.420400083065032959e-01,3.895520839621038900e-01,5.108965210945288771e-01
5.344051569700241089e-01,3.928997884778415162e-01,4.528557173467480657e-01
4.955350458621978760e-01,2.051424176326759607e-01,2.901627713922725893e-01
8.280630111694335938e-01,2.394693179126336779e-01,3.715029120362718373e-01
2.829066167275110510e-01,1.427588454394970174e-01,1.897613293106121535e-01
1.000000000000000000e+00,2.964020428412100783e-01,4.572687068459284632e-01
7.891457080841064453e-01,2.855646272875227987e-01,4.193727232122701487e-01
1.891953051090240479e-01,3.088935390662620947e-02,5.310793367536983250e-02
7.474553585052490234e-01,3.693943229668280592e-01,4.944367548890727937e-01
8.665105104446411133e-01,2.429587668651398413e-01,3.795081655686634581e-01
9.417027036348978308e-01,5.001147626077427910e-01,6.532857800686119321e-01
8.380088210105895996e-01,1.866082169888716724e-01,3.052444496044284250e-01
8.332206010818481445e-01,4.437872747726300249e-01,5.791236010836690040e-01
9.825385063886642456e-01,3.896998681679919585e-01,5.580592024083923519e-01
9.781936009724934156e-01,3.782151686709101512e-01,5.455105659363735926e-01
6.950694322586059570e-01,2.839919343004347896e-01,4.032313382642762067e-01
5.240229964256286621e-01,2.532910292559280574e-01,3.415101740948099374e-01
9.929793477058410645e-01,2.900245043380958454e-01,4.489282595333783377e-01
1.814897358417510986e-01,9.869530464795123192e-02,1.278596797178837841e-01
8.561688264211018140e-01,3.144286698321017148e-01,4.599429370128586547e-01
9.889213442802429199e-01,3.321294540828266251e-01,4.972555281199458332e-01
9.831386804580688477e-01,1.821461827267052136e-01,3.073496676975406849e-01
8.216500878334045410e-01,1.846739604668805323e-01,3.015676234597485239e-01
2.110109329223632812e-01,3.347858514623820031e-02,5.778855094021909111e-02
9.806600014368692664e-01,4.778918818785594103e-01,6.426229453071096165e-01
7.876885235309600830e-01,2.961955900752433757e-01,4.305070331670458605e-01
7.603753805160522461e-01,3.574171637017757308e-01,4.862641341786314020e-01
8.887258470058441162e-01,3.099149509216658771e-01,4.595695853734643732e-01
9.308566451072692871e-01,3.269275962892505549e-01,4.839029071264328574e-01
9.921424388885498047e-01,4.059653072020946163e-01,5.761722029190619043e-01
2.621284425258636475e-01,1.252053552665389480e-01,1.694656389861728951e-01
9.113062620162963867e-01,4.000035340969378961e-01,5.559719397073902281e-01
9.916219115257263184e-01,3.911435388560806081e-01,5.610011496516734697e-01
6.459336280822753906e-01,2.371122429189695680e-01,3.468874638589638515e-01
